id,title,description,category,status,result,voting_ends_at,resolution_deadline,resolution_criteria,resolution_sources,resolution_confidence,total_yes_votes,total_no_votes,total_pool,created_at,resolved_at
019b670a-7050-7558-8900-f5df54d0f952,Great Lakes 15+ snow dump by Dec30 or flake szn?,Bomb winter storm slamming Great Lakes rn - will it bury any spot with 15+ inches official snow or total Midwest cope? Stakes high for travel chaos.,weather,LIVE,,2025-12-30 22:18:16.012+00,2025-12-31 04:18:16.012+00,"Resolves YES if any official NWS/NOAA snowfall report from the current winter storm exceeds 15 inches at a location in the Great Lakes region (MI, WI, MN, IL, IN, OH, PA, NY) by Dec 30, 2025 11:59PM ET.",,,2,1,0.75,2025-12-28 22:18:16.021432+00,
019b6704-f167-7558-8900-d37abedb81a5,Trump-Zelenskyy joint statement by Dec30 or peace cope?,"Trump's back and Ukraine aid drama peaks - will they drop a joint announcement on a major deal or initiative by tomorrow, or is it all hot air? Bets on if diplomacy delivers.",politics,LIVE,,2025-12-30 22:12:15.847+00,2025-12-31 04:12:15.847+00,"Resolves YES if U.S. President Donald Trump and Ukrainian President Volodymyr Zelenskyy issue a joint public statement announcing a significant new initiative or agreement by December 30, 2025 23:59 UTC, as reported by at least two major news outlets like Reuters, AP, or BBC.",,,2,1,1.50,2025-12-28 22:12:15.848978+00,
019b66ff-b068-7558-8900-9971a63a57e9,15+ snow buries Great Lakes by Dec30 or storm cooked?,Bomb winter storm ripping Midwest - will it dump 15+ inches anywhere in Great Lakes region or fizzle into cope snow? Perfect for weather degens calling the total.,weather,SETTLED,INVALID,2025-12-29 04:06:31.525+00,2025-12-29 10:06:31.525+00,"Resolves YES if any official National Weather Service station or storm summary reports over 15 inches of snowfall accumulation from the current winter storm in the Great Lakes region (Michigan, Wisconsin, Ohio, Pennsylvania, or New York) by December 30, 2025 11:59 PM ET.","""[]""",100,1,0,0.25,2025-12-28 22:06:31.532673+00,2025-12-29 10:06:39.397+00
019b66fa-65dd-7558-8900-433f5471248c,Great Lakes 15+ snow blast by Dec30 or storm total flake?,"Winter bomb incoming - forecasters hyping monster snows across Great Lakes, but does it deliver 15+ inches anywhere or bust hard? Perfect for calling blizzards early.",weather,LIVE,,2025-12-30 22:00:44.764+00,2025-12-31 04:00:44.764+00,"Resolves YES if any official weather station in the Great Lakes region (including MI, WI, OH, PA, NY, IN, IL) reports over 15 inches of snowfall accumulation from the current winter storm by end of December 30, 2025, per National Weather Service or NOAA records.",,,2,0,0.50,2025-12-28 22:00:44.76812+00,
019b66fa-11bc-7558-88ff-ddf24d284a90,CR7 Best ME Player Globe: GOAT flex or region cope?,Ronaldo bags Best Middle East Player at Globe Soccer Awards tonight - fans hailing deserved recognition or dragging the category as rigged?,sports,LIVE,,2025-12-29 22:00:23.225+00,2025-12-30 04:00:23.225+00,"Resolves YES if Cristiano Ronaldo's 'Best Middle East Player' award is generally perceived as well-deserved by most football fans on social media (majority positive sentiment in top X posts/reactions) by December 29, 2025.",,,1,0,0.50,2025-12-28 22:00:23.235893+00,
019b66fa-11bd-7558-88ff-f73270073f77,Unmarry MMFF 2nd Best Pic: snub robbery or overhype exposed?,Unmarry lands Second Best Picture at MMFF instead of top spot - does it ignite PH debate or fizzle out?,movies,LIVE,,2025-12-30 22:00:23.226+00,2025-12-31 04:00:23.226+00,"Resolves YES if the decision sparks significant public discussion/debate (major X trends or PH media articles on controversy) by December 30, 2025.",,,1,0,0.10,2025-12-28 22:00:23.235893+00,
019b66fa-11bd-7558-8900-09f5cb24cc96,Doumbouya junta prez locked by Dec30 or Guinea chaos mode?,Guinean Presidential Election results pending - junta leader Mamadi Doumbouya officially crowned or post-coup flop?,politics,LIVE,,2025-12-30 22:00:23.226+00,2025-12-31 04:00:23.226+00,"Resolves YES if Gen. Mamadi Doumbouya is officially declared the winner of the Guinean Presidential Election by official sources by December 30, 2025.",,,1,1,2.00,2025-12-28 22:00:23.235893+00,
019b66fa-11bd-7558-8900-00af4628242b,Storm nukes 500k+ power outs by Dec30 or grid cooked?,Bomb cyclone ripping US - will it black out over half a mil customers across states?,weather,LIVE,,2025-12-30 22:00:23.226+00,2025-12-31 04:00:23.226+00,"Resolves YES if the winter storm causes widespread power outages impacting over 500,000 customers across multiple states (per PowerOutage.us totals) by December 30, 2025.",,,1,1,1.00,2025-12-28 22:00:23.235893+00,
019b66fa-11bd-7558-8900-136c6aa1d133,Trump-Zelenskyy joint drop by Dec30 or Ukraine peace cope?,High-stakes diplomacy: will US Prez Trump and Ukraine's Zelenskyy announce big new deal publicly?,politics,LIVE,,2025-12-30 22:00:23.226+00,2025-12-31 04:00:23.226+00,"Resolves YES if U.S. President Donald Trump and Ukrainian President Volodymyr Zelenskyy issue a joint public statement announcing a significant new initiative or agreement (per official channels/media) by December 30, 2025.",,,1,0,1.00,2025-12-28 22:00:23.235893+00,
019b66fa-11bd-7558-88ff-fc91f70ce3d2,Great Lakes blizzard: 15+ inches snow dump by Dec30 or flake szn?,Massive winter storm barreling toward Great Lakes - will any spot officially log 15+ inches by tomorrow?,weather,LIVE,,2025-12-30 22:00:23.226+00,2025-12-31 04:00:23.226+00,"Resolves YES if any location in the Great Lakes region officially reports over 15 inches of snowfall from the current winter storm (per NWS or official weather stations) by December 30, 2025.",,,1,0,0.50,2025-12-28 22:00:23.235893+00,
019b66fa-11bd-7558-88ff-ea14b9506d6a,Vice Ganda Best Actor MMFF: PH queen or instant drag?,Vice Ganda shocks with Best Actor win at 51st Metro Manila Film Festival - mainstream PH media/fans celebrating or backlash brewing?,movies,LIVE,,2025-12-29 22:00:23.225+00,2025-12-30 04:00:23.225+00,"Resolves YES if Vice Ganda's Best Actor win is widely celebrated by Filipino mainstream media (e.g., ABS-CBN, GMA positive headlines) and fans on social media by December 29, 2025.",,,1,0,0.25,2025-12-28 22:00:23.235893+00,
019b66fa-11bd-7558-88ff-e7ba64555ced,Djokovic Globe Sports Award: tennis bubble or timeline boss?,Novak Djokovic nabs Globe Sports Award - will it buzz beyond hardcore tennis fans into mainstream convos?,sports,LIVE,,2025-12-29 22:00:23.225+00,2025-12-30 04:00:23.225+00,"Resolves YES if Novak Djokovic's 'Globe Sports Award' generates significant buzz beyond tennis circles (trending on X with non-tennis coverage from major outlets) on December 29, 2025.",,,1,0,0.25,2025-12-28 22:00:23.235893+00,
019b66f4-8489-7558-88ff-c1878a63fe00,LeBron 30+ Sunday or Father Time cashes fr?,Lakers ball tomorrow night - does the GOAT at 41 drop 30+ pts or is age finally cooking him in prime time?,sports,SETTLED,INVALID,2025-12-29 03:54:19.398+00,2025-12-29 09:54:19.398+00,"Resolves YES if LeBron James scores 30 or more points in the Los Angeles Lakers' NBA game on December 29, 2025, per official NBA.com box score.","""[]""",100,0,0,0.00,2025-12-28 21:54:19.405581+00,2025-12-29 09:54:25.33+00
019b66ee-f1b2-7558-88ff-acc615cf7b47,Winter's Shadow 80% RT audience Mon or Netflix mid?,"Netflix's new limited series Winter's Shadow dropped Dec 27 - audience score building fast, but is it banger or forgettable holiday filler? Resolves EOD Mon.",tv,LIVE,,2025-12-30 21:48:14.129+00,2025-12-31 03:48:14.129+00,"Resolves YES if the Netflix limited series 'Winter's Shadow' achieves a Rotten Tomatoes audience score of 80% or higher by end-of-day December 30, 2025, per RottenTomatoes.com.",,,1,0,0.25,2025-12-28 21:48:14.132713+00,
019b66e9-c411-7558-88ff-a257bdb4cd2d,Sun NFL: 7+ dogs feast or chalk szn?,Dec 29 NFL slate loaded w/ big spreads - any 7+ pt underdog win outright or faves bully thru? Stakes high for playoffs.,sports,SETTLED,YES,2025-12-29 03:42:34.767+00,2025-12-29 09:42:34.767+00,"Resolves YES if at least one NFL team favored by 7+ points (per opening Vegas consensus lines on ESPN Bet or OddsShark) loses outright on December 29, 2025, confirmed by final scores on NFL.com.","""[]""",100,0,0,0.00,2025-12-28 21:42:34.771989+00,2025-12-29 09:42:46.5+00
019b66e4-21b2-7558-88ff-9f04588a2751,Astro Odyssey $50M global Mon or sci-fi dud?,New sci-fi blockbuster hits theaters amid holiday rush - does it smash $50M worldwide by Dec 30 EOD or flop into oblivion?,movies,LIVE,,2025-12-30 21:36:25.52+00,2025-12-31 03:36:25.52+00,"Resolves YES if 'Astro Odyssey' surpasses $50 million USD in cumulative global box office by end-of-day December 30, 2025, per Box Office Mojo.",,,1,0,0.50,2025-12-28 21:36:25.525175+00,
019b66de-9c7e-7558-88ff-5c5729d4e4bd,Giants upset Eagles Sun or Philly dynasty rolls?,NFC East bloodbath tomorrow - Giants got revenge arc or Eagles clip wings and punch playoffs? Swipe if NYG shocks the timeline.,sports,LIVE,,2025-12-29 21:30:23.741+00,2025-12-30 03:30:23.741+00,"Resolves YES if the New York Giants defeat the Philadelphia Eagles in their scheduled NFL game on December 29, 2025, per official NFL.com game score.",,,1,0,0.50,2025-12-28 21:30:23.744851+00,
019b66de-7c10-7558-88ff-4603453866a1,Winter's Shadow 80% RT audience Mon or slop?,Netflix's new thriller dropped Dec 27 - does audience score hit 80%+ by Mon or is it mid? Streaming hype vs reality.,tv,LIVE,,2025-12-30 21:30:15.435+00,2025-12-31 03:30:15.435+00,"Resolves YES if 'Winter's Shadow' Netflix series achieves 80% or higher Rotten Tomatoes audience score by end-of-day December 30, 2025.",,,1,0,0.50,2025-12-28 21:30:15.446269+00,
019b66de-7c10-7558-88ff-4bba71fffac9,LeBron 30+ Sunday or Father Time cashes fr?,Lakers ball tomorrow - does the King drop 30+ or is age finally winning? GOAT debates eternal.,sports,LIVE,,2025-12-29 21:30:15.435+00,2025-12-30 03:30:15.435+00,"Resolves YES if LeBron James scores 30 or more points in the Lakers' NBA game on December 29, 2025, per official NBA stats.",,,1,0,0.50,2025-12-28 21:30:15.446269+00,
019b66de-7c0f-7558-88ff-3c02bbd37270,Cyber Frontier 2.0 servers melt launch day?,Huge game update drops Dec 30 - will servers crash hard (50%+ players down 2+ hrs) or is it butter? Gamers love calling tech fails.,gaming,LIVE,,2025-12-30 21:30:15.435+00,2025-12-31 03:30:15.435+00,"Resolves YES if 'Cybernetic Frontier 2.0' update on December 30, 2025, experiences outages affecting 50%+ of players for over 2 hours, per official status pages and Steam forums.",,,1,0,0.25,2025-12-28 21:30:15.446269+00,
019b66de-7c10-7558-88ff-52c7e674532e,Tesla dips 3%+ Mon post-analyst roast?,Year-end analyst takes incoming - will TSLA tank 3%+ Monday or Elon pumps it? Stock memes move markets.,tech,LIVE,,2025-12-30 21:30:15.435+00,2025-12-31 03:30:15.435+00,"Resolves YES if Tesla (TSLA) stock closes down more than 3% on December 30, 2025, per Yahoo Finance or Nasdaq.",,,1,0,1.00,2025-12-28 21:30:15.446269+00,
019b66de-7c0f-7558-88ff-368e07cd41ce,Giants punk Eagles Sunday or Philly owns NY?,Divisional bloodbath with playoff vibes - do the Giants shock the Eagles or does Philly keep dominating the NFC East? Rivalry bets = instant heat.,sports,LIVE,,2025-12-29 21:30:15.435+00,2025-12-30 03:30:15.435+00,"Resolves YES if the New York Giants defeat the Philadelphia Eagles in their NFL game on December 29, 2025, per official NFL scores.",,,1,0,1.00,2025-12-28 21:30:15.446269+00,
019b66de-7c0f-7558-88ff-2c3ff2f1bdef,Glitch Glide 10M TikToks NYE or viral cope?,This glitchy dance is blowing up - will it crack 10M uses by NYE or fizzle like last week's trend? TikTok virality bets never miss.,viral,LIVE,,2025-12-31 21:30:15.435+00,2026-01-01 03:30:15.435+00,"Resolves YES if the 'Glitch Glide' TikTok challenge exceeds 10 million video uses by end-of-day December 31, 2025, per official TikTok metrics.",,,1,0,0.10,2025-12-28 21:30:15.446269+00,
019b66de-7c0e-7558-88ff-1abcb894845a,NFL 7+ pt faves cooked Sunday or chalk szn?,Sunday's NFL slate has multiple heavy favorites - will underdogs pull off outright upsets or do the big dogs roll? Perfect for hating your parlay.,sports,LIVE,,2025-12-29 21:30:15.435+00,2025-12-30 03:30:15.435+00,"Resolves YES if at least one team favored by 7+ points on major sportsbooks like DraftKings loses outright in NFL games on December 29, 2025, per official NFL scores.",,,1,0,0.50,2025-12-28 21:30:15.446269+00,
019b66de-7c0f-7558-88ff-22e47f7e2b68,Astro Odyssey $50M global Mon or total flop?,New sci-fi banger drops into holiday box office - can it smash 50M worldwide by Monday or is it DOA? Holiday movie bets are peak screenshot fuel.,movies,LIVE,,2025-12-30 21:30:15.435+00,2025-12-31 03:30:15.435+00,"Resolves YES if 'Astro Odyssey' surpasses $50 million in global box office totals by end-of-day December 30, 2025, per Box Office Mojo.",,,1,0,0.25,2025-12-28 21:30:15.446269+00,
019b66d9-0381-7558-88ff-043e2e08bb59,Mariah NYE surprise guest or solo queen szn?,Mariah's legendary NYE concert hits Dec 31 - does she drop a shock collab like old times or own the ball drop alone? Holiday bet with massive buzz potential.,music,LIVE,,2025-12-31 21:24:16.896+00,2026-01-01 03:24:16.896+00,"Resolves YES if a surprise guest artist (not previously announced) performs during Mariah Carey's New Year's Eve concert broadcast on December 31st, 2025, confirmed by official broadcast or reputable sources like Billboard, Rolling Stone, or major networks (ABC/Dick Clark's).",,,1,0,0.25,2025-12-28 21:24:16.900448+00,
019b66d3-ac34-7558-88fe-f95e12f491cf,7+ NFL faves actually lose outright Sunday or nah?,Tomorrow's NFL slate has fat spreads begging for chaos - any 7+ point fave gets straight-up cooked? Perfect degen bet before kickoffs.,sports,SETTLED,INVALID,2025-12-29 03:18:26.866+00,2025-12-29 09:18:26.866+00,"Resolves YES if at least one NFL team favored by 7 or more points (per Vegas Insider consensus opening odds) loses outright on December 29, 2025, confirmed by official NFL.com box scores.","""[]""",100,0,0,0.00,2025-12-28 21:18:26.872899+00,2025-12-29 09:18:36.319+00
019b66ce-0bed-7558-88fe-f2517acb97f2,LeBron 30+ tomorrow or Father Time cashes fr?,Lakers ball Sunday Dec 29 - can 41yo Bron still drop 30+ or is the GOAT finally cooked? Eternal debate.,sports,SETTLED,INVALID,2025-12-29 03:12:18.155+00,2025-12-29 09:12:18.155+00,"Resolves YES if LeBron James scores 30 or more points in the Los Angeles Lakers' NBA game on December 29, 2025, per official stats on NBA.com or ESPN.","""[]""",100,0,0,0.00,2025-12-28 21:12:18.159032+00,2025-12-29 09:12:24.383+00
019b66c8-79cd-7558-88fe-dd7103ed015d,Winter's Shadow 80% RT audience Mon or Netflix slop?,"Netflix's new limited series 'Winter's Shadow' dropped Dec 27th - audience score racing up, but will it hit 80% RT by Monday or join the forgettable pile? Perfect for hot takes on binge culture.",tv,LIVE,,2025-12-30 21:06:13.067+00,2025-12-31 03:06:13.067+00,"Resolves YES if the Netflix limited series ""Winter's Shadow"" achieves a Rotten Tomatoes audience score of 80% or higher by end-of-day December 30, 2025, as displayed on the official Rotten Tomatoes website.",,,1,0,0.25,2025-12-28 21:06:13.071657+00,
019b66c3-22ba-7558-88fe-65ea0f4d7ccd,Astro Odyssey $50M global Mon or flop city?,New sci-fi tentpole drops into holiday box office - can it smash 50M worldwide by EOD Monday or is it DOA? Holiday hits or misses incoming.,movies,LIVE,,2025-12-30 21:00:23.097+00,2025-12-31 03:00:23.097+00,"Resolves YES if 'Astro Odyssey' surpasses $50 million in global box office totals by end-of-day December 30, 2025, per Box Office Mojo.",,,0,0,0.00,2025-12-28 21:00:23.107794+00,
019b66c3-22ba-7558-88fe-6988e5fc3fc3,Celeb power couple splits/engages pre-NYE or nah?,Gossip mills buzzing - will any A-list duo like Taylor-Travis drop split or ring news before 2026 kicks off? Drama szn or forever locked.,celebrities,LIVE,,2026-01-01 21:00:23.097+00,2026-01-02 03:00:23.097+00,"Resolves YES if a prominent celebrity couple (e.g., top 10 Google-trending pairs like Swift-Kelce) announces split or engagement before January 1, 2026, verified by TMZ or People magazine headlines.",,,1,0,0.25,2025-12-28 21:00:23.107794+00,
019b66c3-22ba-7558-88fe-780980e79064,Giants punk Eagles Sunday or Philly owns?,Divisional bloodbath with playoff vibes - do the Giants pull the upset on the Eagles or does Philly cruise? NY faithful vs Bird gang.,sports,LIVE,,2025-12-29 21:00:23.097+00,2025-12-30 03:00:23.097+00,"Resolves YES if the New York Giants defeat the Philadelphia Eagles in their NFL game on December 29, 2025, per official NFL scores.",,,1,0,1.00,2025-12-28 21:00:23.107794+00,
019b66c3-22bb-7558-88fe-87b480c80503,Cyber Frontier 2.0 servers melt launch day?,Huge game update drops Dec 30 - will servers outage for 50%+ players over 2hrs or is it buttery smooth? Gamers vs dev promises.,gaming,LIVE,,2025-12-30 21:00:23.097+00,2025-12-31 03:00:23.097+00,"Resolves YES if 'Cybernetic Frontier 2.0' experiences major server outages affecting 50%+ of players for over 2 hours on December 30, 2025 launch, per official dev statements or Downdetector reports.",,,0,0,0.00,2025-12-28 21:00:23.107794+00,
019b66c3-22ba-7558-88fe-7604f8602002,Glitch Glide 10M TikToks NYE or viral cope?,Latest dance craze sweeping For You pages - does 'The Glitch Glide' hit 10M uses by NYE or fizzle like last week's brainrot? Trend chasers assemble.,viral,LIVE,,2025-12-31 21:00:23.097+00,2026-01-01 03:00:23.097+00,"Resolves YES if 'The Glitch Glide' TikTok challenge exceeds 10 million uses by end-of-day December 31, 2025, per official TikTok search metrics.",,,1,0,0.10,2025-12-28 21:00:23.107794+00,
019b66c3-22bb-7558-88fe-8b80643c0884,A-lister surprise drops NYE banger or sleeps?,NYE tradition: random star drops heat - will someone big unleash single/video Dec 31 or does music Twitter log off early? Drop szn or nah.,music,LIVE,,2025-12-31 21:00:23.097+00,2026-01-01 03:00:23.097+00,"Resolves YES if a prominent A-list music artist (Billboard top 20 active) unexpectedly releases a new single or music video on December 31, 2025, confirmed by Spotify New Releases or YouTube upload timestamps.",,,1,0,0.25,2025-12-28 21:00:23.107794+00,
019b66c3-22bb-7558-88fe-90cd28c9394a,LeBron 30+ Sunday or father time wins fr?,King James at 41 in Lakers action Dec 29 - drops 30+ or does age finally catch up? GOAT debate reloaded.,sports,LIVE,,2025-12-29 21:00:23.097+00,2025-12-30 03:00:23.097+00,"Resolves YES if LeBron James scores 30 or more points in the Los Angeles Lakers' NBA game on December 29, 2025, per official NBA.com box score.",,,1,0,0.50,2025-12-28 21:00:23.107794+00,
019b66c3-22ba-7558-88fe-5c5175aad2f4,NFL 7+ pt fave cooked tomorrow or chalk szn?,Sunday's NFL slate loaded with big spreads - will any heavy fave (7+ pts) straight up lose or do favorites hold? Perfect for underdog truthers.,sports,LIVE,,2025-12-29 21:00:23.097+00,2025-12-30 03:00:23.097+00,"Resolves YES if any team favored by 7+ points on major sportsbooks like DraftKings loses outright in NFL games on December 29, 2025, per official scores on NFL.com.",,,0,0,0.00,2025-12-28 21:00:23.107794+00,
019b66c3-07a0-7558-88fe-526a44d9d61f,LeBron 30+ Sunday or father time cashes?,"Lakers hoop Sunday Dec 29th - King James dropping 30+ like prime or is GOAT era fading into retirement talks? Degens, pick your side.",sports,SETTLED,INVALID,2025-12-29 03:00:16.159+00,2025-12-29 09:00:16.159+00,"Resolves YES if LeBron James scores 30 or more points in the Los Angeles Lakers' NBA game on December 29, 2025, per official NBA stats at NBA.com.","""[]""",100,0,0,0.00,2025-12-28 21:00:16.163076+00,2025-12-29 09:00:24.69+00
019b66bd-8619-7558-88fe-4b55bd1485c7,LeBron drops 30+ tonight or father time wins?,Lakers ball Dec 29 - King James still got it or is the GOAT arc fading fast with playoff push on?,sports,SETTLED,INVALID,2025-12-29 00:54:15.318+00,2025-12-29 06:54:15.318+00,"Resolves YES if LeBron James scores 30 or more points in the Los Angeles Lakers' NBA game on December 29, 2025, per official NBA stats at NBA.com.","""[]""",100,0,0,0.00,2025-12-28 20:54:15.324966+00,2025-12-29 06:54:30.182+00
019b66b8-2d07-7558-88fe-35ef84cab9c1,CR7 flexes Best ME Player Globe by Dec30 or nah?,Cristiano Ronaldo scooped Best Middle East Player at the Globe Soccer Awards - does the GOAT hype it up publicly by tomorrow or radio silence for the haters?,sports,LIVE,,2025-12-30 20:48:24.837+00,2025-12-31 02:48:24.837+00,"Resolves YES if Cristiano Ronaldo publicly comments on or acknowledges his 'Best Middle East Player' award from the 2025 Globe Soccer Awards by December 30, 2025, via social media post, story, interview, or reported statement in major sports media (e.g., ESPN, Marca, BBC Sport).",,,1,0,0.25,2025-12-28 20:48:24.842291+00,
019b66b2-bddc-7558-88fe-1a9d92d34c3b,CR7 flexes Best ME Player Globe award by Dec30 or nah?,Cristiano Ronaldo just bagged Best Middle East Player at Globe Soccer Awards - will he post about it or keep it lowkey by tomorrow?,celebrities,SETTLED,INVALID,2025-12-29 02:42:28.699+00,2025-12-29 08:42:28.699+00,"Resolves YES if Cristiano Ronaldo publicly comments on, posts about, or thanks for his 'Best Middle East Player' award from the 2025 Globe Soccer Awards by 23:59 UTC December 30, 2025, verifiable via his official social media (Instagram, X/Twitter) or reported by ESPN.","""[]""",100,0,0,0.00,2025-12-28 20:42:28.701782+00,2025-12-29 08:42:39.924+00
019b66ad-5556-7558-88fe-0521c0b1a55a,NY storm axes 20%+ JFK/LGA/EWR flights by Dec30 or total bust?,"Winter storm slamming the Northeast - will it cancel 20%+ flights at NYC's big three airports tomorrow, ruining holiday travel, or overhyped flake?",weather,SETTLED,INVALID,2025-12-29 02:36:34.26+00,2025-12-29 08:36:34.26+00,"Resolves YES if at least one of JFK, LGA, or EWR cancels over 20% of its scheduled flights for December 30, 2025 due to the forecasted winter storm, verifiable via FlightAware stats or official airport sites by end of Dec 30 UTC.","""[]""",100,0,0,0.00,2025-12-28 20:36:34.266101+00,2025-12-29 08:36:37.59+00
019b66a7-b3aa-7558-88fd-4a9289a19800,I'mPerfect PH gov congrats by Dec30 or indie snub?,PH film fest darling wins big - does gov shower love or leave it hanging?,movies,LIVE,,2025-12-30 20:30:25.193+00,2025-12-31 02:30:25.193+00,"Resolves YES if 'I'mPerfect' receives an official congratulatory message from a Philippine government official by December 30, 2025, per gov socials or ABS-CBN.",,,1,0,0.25,2025-12-28 20:30:25.199012+00,
