title,voting_ends_at,status
Will LeBron score 30+ pts tonight?,2025-12-27 22:42:20.041+00,PROCESSING
Will the Warriors win tonight?,2025-12-27 21:12:18.399+00,PROCESSING
Will Ant-Man score 30+ tonight?,2025-12-27 20:36:29.895+00,PROCESSING
Will Luka Doncic get a triple-double tonight?,2025-12-27 19:18:17.716+00,PROCESSING
Will Anthony Edwards score 30+ pts tonight?,2025-12-27 18:18:26.187+00,PROCESSING
Will Giannis score 30+ tonight?,2025-12-27 15:48:13.964+00,PROCESSING
Will Celtics win tonight?,2025-12-27 15:12:22.182+00,PROCESSING
Will Tatum score 30+ pts tonight?,2025-12-27 15:06:21.242+00,PROCESSING
Will PEPE hit $0.00003 next 4 hours?,2025-12-27 15:00:27.457+00,PROCESSING
Will ADA hit $1?,2025-12-27 14:18:17.074+00,PROCESSING
Will WIF hit $3?,2025-12-27 14:12:14.621+00,PROCESSING
Will FLOKI hit $0.0004?,2025-12-27 14:06:15.042+00,PROCESSING
Will POPCAT hit $2?,2025-12-27 13:54:18.439+00,PROCESSING
Will Bitcoin hit $122k next 4 hours?,2025-12-27 13:42:10.942+00,PROCESSING
"Will ETH hit $4,200 next 4h?",2025-12-27 12:24:19.262+00,PROCESSING
Will LeBron score 30+ pts tonight?,2025-12-27 12:12:18.362+00,PROCESSING
Will Jokic get a triple-double tonight?,2025-12-27 12:06:21.568+00,PROCESSING
Will Giannis score 30+ pts tonight?,2025-12-27 12:00:24.231+00,PROCESSING
Will Steph Curry score 30+ points tonight?,2025-12-27 12:00:17.467+00,LIVE
Will DOGE hit $0.40?,2025-12-27 12:00:17.254+00,PROCESSING
Will Arsenal win their Boxing Day match?,2025-12-27 11:54:16.588+00,PROCESSING
"Will ETH hit $4,000 next 4 hours?",2025-12-27 11:06:16.38+00,PROCESSING
Will Nikola Jokic record a triple-double tonight?,2025-12-27 11:00:16.153+00,PROCESSING
Will BTC hit $112k next 4 hours?,2025-12-27 10:48:20.699+00,PROCESSING
Will BTC hit $110k next 4 hours?,2025-12-27 10:42:14.012+00,PROCESSING
Will Steph Curry drop 30+ pts tonight?,2025-12-27 10:30:17.597+00,PROCESSING
Will FLOKI hit $0.0004?,2025-12-27 09:42:16.486+00,PROCESSING
Will POPCAT hit $1?,2025-12-27 09:30:14.274+00,PROCESSING
Will LINK hit $25?,2025-12-27 09:24:18.821+00,PROCESSING
"Will ETH hit $3,400?",2025-12-27 09:18:14.185+00,PROCESSING
Will BTC hit $108k?,2025-12-27 09:06:15.957+00,PROCESSING
Will SHIB hit $0.00003?,2025-12-27 08:54:13.723+00,PROCESSING
Will LeBron score 30+ pts tonight?,2025-12-27 08:18:15.176+00,PROCESSING
Will MrBeast upload a new video today?,2025-12-27 08:18:14.638+00,PROCESSING
Will Mahomes throw 3+ TDs tonight?,2025-12-27 08:12:23.207+00,PROCESSING
"Will ETH hit $3,800?",2025-12-27 08:12:15.615+00,PROCESSING
Will SOL hit $400?,2025-12-27 08:00:15.686+00,PROCESSING
Will XRP hit $4?,2025-12-27 07:54:17.154+00,PROCESSING
Will SUI hit $5?,2025-12-27 07:48:16.922+00,PROCESSING
Will Dogecoin hit $0.45?,2025-12-27 07:18:16.094+00,PROCESSING
Will POPCAT hit $1?,2025-12-27 07:06:11.209+00,PROCESSING
Will BTC hit $108k?,2025-12-27 07:00:16.341+00,PROCESSING
Will BTC hit $108k?,2025-12-27 06:42:15.088+00,PROCESSING
Will SOL hit $280?,2025-12-27 06:36:14.676+00,PROCESSING
Will WIF hit $3.50?,2025-12-27 06:30:18.939+00,PROCESSING
Will Jokic get a triple-double tonight?,2025-12-27 06:30:17.14+00,PROCESSING
Will the Lakers beat the Clippers tonight?,2025-12-27 05:42:14.664+00,SETTLED
Will HBAR hit $0.50?,2025-12-27 05:36:19.911+00,SETTLED
Will PEPE hit $0.00003?,2025-12-27 04:48:13.531+00,SETTLED
"Will ETH hit $4,000?",2025-12-27 04:18:14.847+00,SETTLED
Will WIF hit $5?,2025-12-27 04:12:11.301+00,SETTLED
